blockNumber,timestamp, inputAmount,inputInUSD,outputAmount,outputInUSD,slippage,slippageIsAcceptable
14385135,1647266089,100000000000,100000000000000000000000,916320591777520797119,90982548363769149445964372,0.001099111882425814,true
14385382,1647266336,100000000000,100000000000000000000000,919472048584896696005,91609452489663230886668596,0.001091590412149701,true
14385629,1647266583,100000000000,100000000000000000000000,919477565732491395756,91610556108852240835444886,0.001091577261917058,true
14385876,1647266830,100000000000,100000000000000000000000,919473194488503929813,91609689296949248459129601,0.001091587590433298,true
14386123,1647267077,100000000000,100000000000000000000000,919468519537981491714,91608761966955526695411310,0.001091598640270581,true
14386370,1647267324,100000000000,100000000000000000000000,919463940005427184667,91607853650765882796768063,0.001091609463760904,true
14386617,1647267571,100000000000,100000000000000000000000,919459367772785301943,91606946789469560720156626,0.00109162027012885,true
14386864,1647267818,100000000000,100000000000000000000000,919454802626156144918,91606041340430292432904804,0.001091631059881473,true
14387111,1647268065,100000000000,100000000000000000000000,919450244415770969640,91605137273791442522554117,0.001091641833373578,true
14387358,1647268313,100000000000,100000000000000000000000,919445693149297988252,91604234591067816837147446,0.001091652590586143,true
14387605,1647268560,100000000000,100000000000000000000000,919441148834603622347,91603333293813700730777659,0.001091663331499677,true
14387852,1647268807,100000000000,100000000000000000000000,919436801450327534374,91602471236735350483061611,0.001091673604979086,true
14388099,1647269054,100000000000,100000000000000000000000,919432182118511633197,91601554992145655125960223,0.001091684524444748,true
14388346,1647269301,100000000000,100000000000000000000000,919427657952288662945,91600657710276104808360975,0.001091695218131404,true
14388593,1647269548,100000000000,100000000000000000000000,919423140769539156958,91599761820140324941035343,0.001091705895440578,true
14388840,1647269795,100000000000,100000000000000000000000,919418630323391914647,91598867272534392802660253,0.001091716556957737,true
14389087,1647270042,100000000000,100000000000000000000000,919414126552042640791,91597974055131808218096735,0.001091727202828865,true
14389334,1647270289,100000000000,100000000000000000000000,919409629378303367241,91597082152539765634205770,0.001091737833236506,true
14389581,1647270536,100000000000,100000000000000000000000,919405138796039335324,91596191563523857611422765,0.001091748448194463,true
14389828,1647270783,100000000000,100000000000000000000000,919400844909301552528,91595340159674291486009365,0.001091758596296211,true
